RP,C,SP,FD,Avg_Team_G,Avg_Team_Career_Length,Avg_Team_Stay_Length,Player_Trade_Freq,target,Career_Length,Stay_Length,GS,Inn,playerid,G,Team,Season,Leave
0,0,1,0,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,25,121.2,34,25,0,2003,0.0
0,0,1,0,105.28,2.56,2.12,0.0,12,3,3,24,121.2,34,24,0,2004,1.0
0,0,1,0,82.80952380952381,2.8095238095238093,2.2857142857142856,0.3333333333333333,9,4,1,21,116.0,34,21,12,2005,1.0
0,0,1,0,101.67857142857143,3.5357142857142856,1.5,0.5,30,5,1,15,84.0,34,15,9,2006,1.0
1,0,0,0,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,1,1,0,69.2,35,31,0,2003,0.0
1,0,0,0,105.28,2.56,2.12,0.0,0,2,2,0,105.1,35,60,0,2004,0.0
1,0,0,0,121.0,3.2083333333333335,2.4583333333333335,0.0,0,3,3,0,91.2,35,78,0,2005,0.0
1,0,0,0,102.17857142857143,3.1785714285714284,2.607142857142857,0.0,0,4,4,0,87.2,35,74,0,2006,0.0
1,0,0,0,104.70833333333333,3.7083333333333335,3.0,0.0,0,5,5,0,77.0,35,71,0,2007,0.0
1,0,0,0,107.07142857142857,4.5,3.2857142857142856,0.0,30,6,6,0,63.1,35,64,0,2008,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,1202.1,37,306,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,12,2,2,0,1187.2,37,316,0,2003,1.0
0,0,0,1,116.56521739130434,2.3043478260869565,1.826086956521739,0.5,6,3,1,0,866.2,37,224,12,2004,1.0
0,0,0,1,127.66666666666667,3.5416666666666665,2.0833333333333335,0.6666666666666666,6,4,1,0,418.2,37,238,6,2006,0.0
0,0,0,1,107.64285714285714,4.142857142857143,2.142857142857143,0.5,30,5,2,0,354.29999999999995,37,246,6,2007,1.0
0,0,1,0,113.81818181818181,1.0,1.0,0.0,0,1,1,32,206.0,40,32,0,2002,0.0
0,0,1,0,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,32,207.1,40,32,0,2003,0.0
0,0,1,0,105.28,2.56,2.12,0.0,0,3,3,25,149.1,40,25,0,2004,0.0
0,0,1,0,121.0,3.2083333333333335,2.4583333333333335,0.0,12,4,4,29,177.1,40,29,0,2005,1.0
0,0,1,0,106.15,3.1,2.5,0.25,12,5,1,31,187.0,40,31,12,2006,0.0
0,0,1,0,109.81818181818181,4.181818181818182,2.3181818181818183,0.2,12,6,2,32,193.2,40,32,12,2007,0.0
0,0,1,0,108.96,4.32,2.64,0.16666666666666666,12,7,3,26,151.2,40,26,12,2008,0.0
0,0,1,0,78.07692307692308,4.423076923076923,2.3461538461538463,0.14285714285714285,30,8,4,20,133.0,40,20,12,2009,1.0
1,0,0,0,113.81818181818181,1.0,1.0,0.0,0,1,1,0,78.0,41,63,0,2002,0.0
1,0,0,0,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,30,2,2,0,80.1,41,62,0,2003,1.0
1,0,0,0,102.54545454545455,2.8636363636363638,1.9090909090909092,0.0,30,1,1,0,64.1,42,49,5,2005,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,67.0,43,49,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,30,2,2,0,434.3,43,294,0,2003,1.0
0,0,1,0,97.58333333333333,1.0,1.0,0.0,11,1,1,24,141.2,44,24,8,2002,1.0
0,0,1,0,105.14814814814815,1.4444444444444444,1.3333333333333333,1.0,25,2,1,24,146.0,44,24,11,2003,1.0
0,0,1,0,95.06896551724138,2.0,1.4482758620689655,1.0,30,3,1,26,147.0,44,26,25,2004,1.0
0,1,0,0,97.58333333333333,1.0,1.0,0.0,8,1,1,0,404.0,45,70,8,2002,0.0
0,1,0,0,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,20,2,2,0,595.0,45,80,8,2003,1.0
0,1,0,0,94.95652173913044,2.3043478260869565,1.608695652173913,0.5,20,3,1,0,908.2,45,108,20,2004,0.0
0,1,0,0,106.05,3.2,2.15,0.3333333333333333,20,4,2,0,1025.1,45,120,20,2005,0.0
0,1,0,0,93.4090909090909,3.590909090909091,2.090909090909091,0.25,18,5,3,0,825.0,45,97,20,2006,1.0
0,1,0,0,118.57142857142857,3.8095238095238093,2.1904761904761907,0.4,3,6,1,0,303.0,45,48,18,2007,1.0
0,1,0,0,106.54166666666667,4.791666666666667,2.5833333333333335,0.5,3,7,1,0,785.1,45,104,3,2008,0.0
0,1,0,0,106.5,4.416666666666667,2.625,0.42857142857142855,9,8,2,0,974.1,45,125,3,2009,1.0
0,1,0,0,105.32,5.72,2.56,0.5,9,9,1,0,776.0,45,99,9,2010,0.0
0,1,0,0,107.0,6.130434782608695,2.391304347826087,0.4444444444444444,19,10,2,0,733.1,45,98,9,2011,1.0
0,1,0,0,106.04,3.76,1.88,0.5,30,11,1,0,826.0,45,104,19,2012,1.0
0,0,1,0,97.58333333333333,1.0,1.0,0.0,8,1,1,29,176.2,46,29,8,2002,0.0
0,0,1,0,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,3,2,2,29,181.1,46,29,8,2003,1.0
0,0,1,0,90.73076923076923,2.3076923076923075,1.7692307692307692,0.5,3,3,1,31,190.0,46,31,3,2004,0.0
1,0,0,0,103.26923076923077,2.923076923076923,2.0384615384615383,0.3333333333333333,8,4,2,0,74.2,46,71,3,2005,1.0
0,0,1,0,102.43478260869566,3.4782608695652173,1.826086956521739,0.5,12,5,1,33,206.0,46,33,8,2006,1.0
0,0,1,0,109.81818181818181,4.181818181818182,2.3181818181818183,0.6,12,6,1,32,192.0,46,32,12,2007,0.0
0,0,1,0,108.96,4.32,2.64,0.5,12,7,2,20,91.1,46,20,12,2008,0.0
1,0,0,0,78.07692307692308,4.423076923076923,2.3461538461538463,0.42857142857142855,15,8,3,0,71.1,46,56,12,2009,1.0
1,0,0,0,125.79166666666667,4.5,2.0416666666666665,0.5,30,9,1,0,77.2,46,57,15,2010,1.0
0,0,0,1,97.58333333333333,1.0,1.0,0.0,8,1,1,0,293.0,47,40,8,2002,0.0
0,0,0,1,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,8,2,2,0,620.0,47,176,8,2003,0.0
0,0,0,1,131.76923076923077,2.1538461538461537,1.6923076923076923,0.0,30,3,3,0,1178.2,47,141,8,2004,1.0
0,0,0,1,121.07692307692308,1.6538461538461537,1.5,0.0,30,1,1,0,157.0,48,144,14,2003,1.0
0,0,0,1,106.26666666666667,3.4,2.1,0.0,17,1,1,0,284.0,49,108,17,2009,0.0
0,0,0,1,113.12,4.28,2.0,0.0,17,2,2,0,253.0,49,33,17,2010,0.0
0,0,0,1,96.0,3.7333333333333334,1.7,0.0,17,3,3,0,383.0,49,110,17,2011,0.0
0,0,0,1,129.23076923076923,4.230769230769231,2.576923076923077,0.0,20,4,4,0,629.4,49,264,17,2013,1.0
0,0,0,1,76.17241379310344,4.827586206896552,2.0689655172413794,0.25,30,5,1,0,114.0,49,18,20,2015,1.0
0,0,0,1,97.58333333333333,1.0,1.0,0.0,8,1,1,0,131.2,50,38,8,2002,0.0
0,0,0,1,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,8,2,2,0,912.2,50,234,8,2003,0.0
0,0,0,1,131.76923076923077,2.1538461538461537,1.6923076923076923,0.0,8,3,3,0,1246.0,50,308,8,2004,0.0
0,0,0,1,135.56521739130434,3.0,1.7391304347826086,0.0,28,4,4,0,607.3,50,366,8,2005,1.0
0,0,0,1,117.8,3.75,2.4,0.25,28,5,1,0,585.2,50,273,28,2006,0.0
0,0,0,1,101.77272727272727,4.2727272727272725,2.727272727272727,0.2,16,6,2,0,361.5,50,204,28,2007,1.0
0,0,0,1,85.8076923076923,3.5384615384615383,2.1153846153846154,0.3333333333333333,30,7,1,0,257.0,50,61,16,2008,1.0
0,0,0,1,97.58333333333333,1.0,1.0,0.0,12,1,1,0,267.2,51,72,8,2002,1.0
0,0,0,1,121.55,1.85,1.7,1.0,30,2,1,0,92.0,51,22,12,2003,1.0
0,0,0,1,97.58333333333333,1.0,1.0,0.0,8,1,1,0,972.2,52,336,8,2002,0.0
0,0,0,1,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,5,2,2,0,663.4000000000001,52,267,8,2003,1.0
0,0,0,1,108.17391304347827,2.260869565217391,1.565217391304348,0.5,8,3,1,0,1130.2,52,140,5,2004,1.0
0,0,0,1,135.56521739130434,3.0,1.7391304347826086,0.6666666666666666,8,4,1,0,1244.1,52,150,8,2005,0.0
0,0,0,1,102.43478260869566,3.4782608695652173,1.826086956521739,0.5,5,5,2,0,736.2,52,105,8,2006,1.0
0,0,0,1,116.21739130434783,3.9130434782608696,2.347826086956522,0.6,5,6,1,0,662.4,52,366,5,2007,0.0
0,0,0,1,108.84210526315789,5.0,2.473684210526316,0.5,5,7,2,0,565.2,52,330,5,2008,0.0
0,0,0,1,103.72727272727273,4.7727272727272725,2.6818181818181817,0.42857142857142855,5,8,3,0,836.5,52,390,5,2009,0.0
0,0,0,1,88.77272727272727,4.409090909090909,2.409090909090909,0.375,5,9,4,0,352.2,52,204,5,2010,0.0
0,0,0,1,119.42857142857143,5.476190476190476,2.6666666666666665,0.3333333333333333,30,10,5,0,313.2,52,321,5,2011,1.0
0,0,0,1,97.58333333333333,1.0,1.0,0.0,8,1,1,0,1169.0,54,150,8,2002,0.0
0,0,0,1,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,8,2,2,0,1168.1,54,147,8,2003,0.0
0,0,0,1,131.76923076923077,2.1538461538461537,1.6923076923076923,0.0,0,3,3,0,1380.3,54,162,8,2004,1.0
0,0,0,1,121.0,3.2083333333333335,2.4583333333333335,0.3333333333333333,10,4,1,0,895.2,54,112,0,2005,1.0
0,0,0,1,113.86363636363636,3.6363636363636362,2.0454545454545454,0.5,24,5,1,0,973.1,54,139,10,2006,1.0
0,0,0,1,98.0,3.5652173913043477,2.4347826086956523,0.6,30,6,1,0,155.1,54,43,24,2007,1.0
0,0,0,1,97.58333333333333,1.0,1.0,0.0,8,1,1,0,1246.2,55,148,8,2002,0.0
0,0,0,1,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,8,2,2,0,1359.1,55,156,8,2003,0.0
0,0,0,1,131.76923076923077,2.1538461538461537,1.6923076923076923,0.0,8,3,3,0,1538.4,55,615,8,2004,0.0
0,0,0,1,131.76923076923077,2.1538461538461537,1.6923076923076923,0.0,8,3,3,0,1538.4,55,615,8,2004,0.0
0,0,0,1,135.56521739130434,3.0,1.7391304347826086,0.0,8,4,4,0,2029.1999999999998,55,411,8,2005,0.0
0,0,0,1,135.56521739130434,3.0,1.7391304347826086,0.0,8,4,4,0,2029.1999999999998,55,411,8,2005,0.0
0,0,0,1,102.43478260869566,3.4782608695652173,1.826086956521739,0.0,9,5,5,0,1532.0,55,214,8,2006,1.0
0,0,0,1,102.43478260869566,3.4782608695652173,1.826086956521739,0.2,9,5,5,0,1532.0,55,214,8,2006,1.0
0,0,0,1,91.03571428571429,4.0,1.75,0.4,13,6,1,0,996.0,55,139,9,2007,1.0
0,0,0,1,118.17391304347827,3.3043478260869565,2.0,0.5,30,7,1,0,650.3,55,272,13,2008,1.0
0,0,0,1,97.58333333333333,1.0,1.0,0.0,8,1,1,0,682.0,56,124,8,2002,0.0
0,0,0,1,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,30,2,2,0,268.0,56,66,8,2003,1.0
0,0,0,1,137.08695652173913,1.0,1.0,0.0,23,1,1,0,444.1,57,85,23,2002,0.0
0,0,0,1,112.32142857142857,1.7142857142857142,1.5714285714285714,0.0,0,2,2,0,996.3000000000001,57,272,23,2003,1.0
0,0,0,1,105.28,2.56,2.12,0.5,15,3,1,0,1157.0,57,148,0,2004,1.0
0,0,0,1,125.9090909090909,3.1363636363636362,2.0,0.6666666666666666,15,4,1,0,1189.2,57,148,15,2005,0.0
0,0,0,1,89.41666666666667,3.6666666666666665,1.8333333333333333,0.5,12,5,2,0,537.2,57,69,15,2006,1.0
0,0,0,1,109.81818181818181,4.181818181818182,2.3181818181818183,0.6,25,6,1,0,1273.2,57,153,12,2007,1.0
0,0,0,1,135.17391304347825,3.5217391304347827,2.1739130434782608,0.6666666666666666,25,7,1,0,912.1,57,306,25,2008,0.0
0,0,0,1,136.28571428571428,4.619047619047619,2.5714285714285716,0.5714285714285714,25,8,2,0,504.0,57,81,25,2009,0.0
0,0,0,1,100.4,4.24,2.44,0.5,30,9,3,0,438.1,57,148,25,2010,1.0
0,0,1,0,97.58333333333333,1.0,1.0,0.0,16,1,1,30,175.2,58,30,8,2002,1.0
0,0,1,0,99.9090909090909,1.7727272727272727,1.5909090909090908,1.0,30,2,1,24,138.2,58,24,16,2003,1.0
0,0,1,0,97.58333333333333,1.0,1.0,0.0,8,1,1,35,260.0,60,35,8,2002,0.0
0,0,1,0,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,8,2,2,18,114.0,60,18,8,2003,0.0
0,0,1,0,131.76923076923077,2.1538461538461537,1.6923076923076923,0.0,29,3,3,35,245.2,60,35,8,2004,1.0
0,0,1,0,105.6086956521739,3.3043478260869565,2.217391304347826,0.3333333333333333,29,4,1,34,225.2,60,34,29,2005,0.0
0,0,1,0,107.625,3.7083333333333335,2.4583333333333335,0.25,8,5,2,33,205.0,60,33,29,2006,1.0
0,0,1,0,119.95454545454545,4.0,2.5454545454545454,0.4,10,6,1,30,184.0,60,30,8,2008,1.0
0,0,1,0,118.68,4.2,2.08,0.5,30,7,1,17,91.2,60,17,10,2009,1.0
1,0,0,0,97.58333333333333,1.0,1.0,0.0,30,1,1,0,84.0,61,72,8,2002,1.0
0,0,1,0,90.26086956521739,2.347826086956522,1.826086956521739,1.0,24,2,1,22,125.2,61,22,24,2005,0.0
0,0,1,0,77.03571428571429,2.9642857142857144,2.0,0.5,13,3,2,27,155.0,61,27,24,2006,1.0
0,0,1,0,97.08,2.68,1.88,0.6666666666666666,30,4,1,19,103.2,61,19,13,2007,1.0
1,0,0,0,97.58333333333333,1.0,1.0,0.0,8,1,1,0,61.2,63,55,8,2002,0.0
1,0,0,0,131.76923076923077,2.1538461538461537,1.6923076923076923,0.0,30,2,2,0,86.2,63,76,8,2004,1.0
0,1,0,0,97.58333333333333,1.0,1.0,0.0,7,1,1,0,764.0,65,101,8,2002,1.0
0,1,0,0,106.625,1.9166666666666667,1.4166666666666667,1.0,2,2,1,0,929.2,65,114,7,2003,1.0
0,1,0,0,108.0,2.4285714285714284,1.8095238095238095,1.0,5,3,1,0,963.2,65,110,2,2004,1.0
0,1,0,0,102.54545454545455,2.8636363636363638,1.9090909090909092,1.0,5,4,1,0,917.1,65,114,5,2005,0.0
0,1,0,0,118.8695652173913,3.5217391304347827,2.1739130434782608,0.75,5,5,2,0,840.0,65,101,5,2006,0.0
0,1,0,0,116.21739130434783,3.9130434782608696,2.347826086956522,0.6,30,6,3,0,446.1,65,58,5,2007,1.0
0,1,0,0,97.58333333333333,1.0,1.0,0.0,8,1,1,0,278.2,66,37,8,2002,0.0
0,1,0,0,111.52173913043478,1.7391304347826086,1.6521739130434783,0.0,5,2,2,0,596.0,66,78,8,2003,1.0
0,1,0,0,108.17391304347827,2.260869565217391,1.565217391304348,0.5,5,3,1,0,827.0,66,101,5,2004,0.0
0,1,0,0,102.54545454545455,2.8636363636363638,1.9090909090909092,0.3333333333333333,5,4,2,0,520.2,66,66,5,2005,0.0
